,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
869,Bentleigh East,North,5,h,1600000.0,S,Buxton,2016,13.9,3165.0,4.0,2.0,2.0,659.0,315.0,1930.0,Glen Eira,-37.906,145.0547,Southern Metropolitan,10969.0
870,Bentleigh East,Almurta,3,h,1200000.0,S,hockingstuart,2016,13.9,3165.0,3.0,1.0,1.0,721.0,120.0,1970.0,Glen Eira,-37.9244,145.0665,Southern Metropolitan,10969.0
871,Bentleigh East,Brooks,3,h,780000.0,PI,Buxton,2016,13.9,3165.0,3.0,2.0,2.0,421.0,126.0,1950.0,Glen Eira,-37.9168,145.0809,Southern Metropolitan,10969.0
872,Bentleigh East,Celia,4,t,1250000.0,PI,Buxton,2016,13.9,3165.0,4.0,2.0,2.0,314.0,231.0,2010.0,Glen Eira,-37.9299,145.0598,Southern Metropolitan,10969.0
876,Bentleigh East,Leo,4,h,1110000.0,S,Buxton,2016,13.9,3165.0,4.0,2.0,2.0,583.0,176.0,1960.0,Glen Eira,-37.9262,145.0624,Southern Metropolitan,10969.0
878,Bentleigh East,Moylan,4,h,1690000.0,S,Gary,2016,13.9,3165.0,4.0,2.0,2.0,700.0,165.0,1950.0,Glen Eira,-37.9117,145.0534,Southern Metropolitan,10969.0
879,Bentleigh East,Paloma,3,u,791000.0,S,Woodards,2016,13.9,3165.0,3.0,3.0,1.0,391.0,122.0,1950.0,Glen Eira,-37.9149,145.0788,Southern Metropolitan,10969.0
880,Bentleigh East,South,3,h,900000.0,VB,Beller,2016,13.9,3165.0,3.0,1.0,3.0,780.0,140.0,1940.0,Glen Eira,-37.9347,145.0507,Southern Metropolitan,10969.0
884,Bentleigh East,Francesco,3,t,970000.0,S,Matthew,2017,13.9,3165.0,3.0,2.0,2.0,267.0,156.0,2000.0,Glen Eira,-37.9176,145.0566,Southern Metropolitan,10969.0
888,Bentleigh East,North,3,h,823000.0,S,C21,2017,13.9,3165.0,3.0,2.0,2.0,213.0,143.0,2003.0,Glen Eira,-37.9079,145.0707,Southern Metropolitan,10969.0
892,Bentleigh East,Kennedy,4,t,1045000.0,S,Buxton,2016,13.9,3165.0,4.0,2.0,1.0,316.0,190.0,2010.0,Glen Eira,-37.9198,145.0789,Southern Metropolitan,10969.0
895,Bentleigh East,Marlborough,2,u,655000.0,S,hockingstuart,2016,13.9,3165.0,2.0,1.0,1.0,154.0,80.0,2000.0,Glen Eira,-37.9079,145.0685,Southern Metropolitan,10969.0
896,Bentleigh East,Molden,5,h,1550000.0,S,Hodges,2016,13.9,3165.0,5.0,3.0,2.0,623.0,257.0,1950.0,Glen Eira,-37.9066,145.0541,Southern Metropolitan,10969.0
897,Bentleigh East,Moylan,3,h,835000.0,S,Woodards,2016,13.9,3165.0,3.0,1.0,1.0,250.0,105.0,1980.0,Glen Eira,-37.9087,145.0537,Southern Metropolitan,10969.0
900,Bentleigh East,Purtell,4,t,1465000.0,S,Buxton,2016,13.9,3165.0,3.0,2.0,2.0,319.0,256.0,2015.0,Glen Eira,-37.9256,145.0533,Southern Metropolitan,10969.0
901,Bentleigh East,Veronica,3,h,910000.0,S,Buxton,2016,13.9,3165.0,3.0,1.0,1.0,587.0,96.0,1950.0,Glen Eira,-37.9241,145.0763,Southern Metropolitan,10969.0
902,Bentleigh East,Wamba,3,u,920000.0,SP,Buxton,2016,13.9,3165.0,3.0,2.0,1.0,388.0,123.0,2007.0,Glen Eira,-37.9329,145.053,Southern Metropolitan,10969.0
903,Bentleigh East,Charles,3,t,935000.0,S,hockingstuart,2016,13.9,3165.0,3.0,2.0,2.0,230.0,160.0,2012.0,Glen Eira,-37.9179,145.0592,Southern Metropolitan,10969.0
904,Bentleigh East,Florence,3,h,977000.0,S,Buxton,2016,13.9,3165.0,3.0,1.0,2.0,543.0,163.0,1970.0,Glen Eira,-37.9242,145.0705,Southern Metropolitan,10969.0
905,Bentleigh East,Jassa,3,h,1352000.0,S,Woodards,2016,13.9,3165.0,3.0,1.0,2.0,686.0,122.0,1950.0,Glen Eira,-37.9113,145.0765,Southern Metropolitan,10969.0
906,Bentleigh East,Millard,4,h,1115000.0,SP,Buxton,2016,13.9,3165.0,4.0,2.0,2.0,575.0,160.0,1960.0,Glen Eira,-37.9274,145.0654,Southern Metropolitan,10969.0
909,Bentleigh East,Elizabeth,3,h,1197000.0,S,Buxton,2016,13.9,3165.0,3.0,1.0,2.0,692.0,147.0,1949.0,Glen Eira,-37.9232,145.0563,Southern Metropolitan,10969.0
910,Bentleigh East,Matthews,2,u,485000.0,SP,Buxton,2016,13.9,3165.0,2.0,2.0,2.0,0.0,83.0,2011.0,Glen Eira,-37.9292,145.0708,Southern Metropolitan,10969.0
912,Bentleigh East,Shrewsbury,4,h,1365000.0,PI,Marshall,2016,13.9,3165.0,4.0,1.0,1.0,582.0,151.0,1960.0,Glen Eira,-37.9129,145.0598,Southern Metropolitan,10969.0
914,Bentleigh East,Boronia,4,h,1698888.0,S,hockingstuart,2016,13.9,3165.0,4.0,2.0,2.0,598.0,337.0,2006.0,Glen Eira,-37.9138,145.0774,Southern Metropolitan,10969.0
918,Bentleigh East,Cavalier,3,t,965000.0,S,Buxton,2016,13.9,3165.0,3.0,2.0,1.0,283.0,28.0,2010.0,Glen Eira,-37.9142,145.08,Southern Metropolitan,10969.0
919,Bentleigh East,Connie,3,u,870000.0,S,Woodards,2016,13.9,3165.0,3.0,2.0,2.0,365.0,150.0,2011.0,Glen Eira,-37.9225,145.0754,Southern Metropolitan,10969.0
921,Bentleigh East,MacKie,3,h,1161000.0,S,hockingstuart,2016,13.9,3165.0,3.0,2.0,3.0,629.0,168.0,1950.0,Glen Eira,-37.912,145.0752,Southern Metropolitan,10969.0
922,Bentleigh East,Melball,3,h,1266000.0,S,hockingstuart,2016,13.9,3165.0,3.0,1.0,3.0,676.0,146.0,1970.0,Glen Eira,-37.9307,145.0531,Southern Metropolitan,10969.0
923,Bentleigh East,Rudyard,3,t,700000.0,PI,hockingstuart,2016,13.9,3165.0,3.0,2.0,2.0,194.0,200.0,2008.0,Glen Eira,-37.9272,145.0801,Southern Metropolitan,10969.0
924,Bentleigh East,Barrani,4,t,1325000.0,S,Buxton,2017,13.9,3165.0,4.0,4.0,2.0,363.0,265.0,2012.0,Glen Eira,-37.9116,145.0686,Southern Metropolitan,10969.0
925,Bentleigh East,Bessie,3,u,770000.0,PI,hockingstuart,2017,13.9,3165.0,3.0,2.0,1.0,281.0,132.0,2005.0,Glen Eira,-37.9257,145.0811,Southern Metropolitan,10969.0
927,Bentleigh East,Brad,1,u,380000.0,S,hockingstuart,2017,13.9,3165.0,1.0,1.0,1.0,0.0,99.0,1970.0,Glen Eira,-37.9315,145.0619,Southern Metropolitan,10969.0
928,Bentleigh East,Brady,4,h,1175000.0,S,RT,2017,13.9,3165.0,4.0,2.0,2.0,620.0,158.0,1980.0,Glen Eira,-37.9281,145.0669,Southern Metropolitan,10969.0
929,Bentleigh East,Forrest,3,h,1200000.0,S,Woodards,2017,13.9,3165.0,3.0,1.0,1.0,640.0,120.0,1960.0,Glen Eira,-37.916,145.0776,Southern Metropolitan,10969.0
930,Bentleigh East,MacKie,4,h,1370000.0,SP,Gary,2017,13.9,3165.0,4.0,1.0,2.0,684.0,196.0,1970.0,Glen Eira,-37.9147,145.0751,Southern Metropolitan,10969.0
931,Bentleigh East,Mawby,4,h,1433500.0,S,Hodges,2017,13.9,3165.0,4.0,1.0,1.0,725.0,186.0,1950.0,Glen Eira,-37.9289,145.0502,Southern Metropolitan,10969.0
935,Bentleigh East,Molden,3,t,860000.0,PI,hockingstuart,2016,13.9,3165.0,3.0,2.0,1.0,210.0,131.0,2005.0,Glen Eira,-37.9075,145.061,Southern Metropolitan,10969.0
938,Bentleigh East,Garden,2,u,715000.0,S,hockingstuart,2016,13.9,3165.0,2.0,1.0,1.0,194.0,114.0,1995.0,Glen Eira,-37.9107,145.0598,Southern Metropolitan,10969.0
943,Bentleigh East,Centre,2,h,710000.0,S,Buxton,2016,13.9,3165.0,2.0,1.0,1.0,0.0,115.0,1950.0,Glen Eira,-37.9212,145.0606,Southern Metropolitan,10969.0
945,Bentleigh East,Deakin,5,h,1550000.0,PI,hockingstuart,2016,13.9,3165.0,5.0,3.0,2.0,583.0,296.0,2007.0,Glen Eira,-37.9143,145.0699,Southern Metropolitan,10969.0
947,Bentleigh East,Hodgson,3,u,790000.0,S,hockingstuart,2016,13.9,3165.0,3.0,1.0,2.0,406.0,100.0,1996.0,Glen Eira,-37.9286,145.0737,Southern Metropolitan,10969.0
949,Bentleigh East,Patricia,3,h,1020000.0,S,Nick,2016,13.9,3165.0,3.0,1.0,2.0,596.0,144.0,1960.0,Glen Eira,-37.9251,145.0771,Southern Metropolitan,10969.0
956,Bentleigh East,Manuka,3,h,886000.0,S,Ray,2016,13.9,3165.0,3.0,2.0,1.0,185.0,122.0,2012.0,Glen Eira,-37.9159,145.0787,Southern Metropolitan,10969.0
958,Bentleigh East,Belinda,4,h,1015000.0,S,C21,2016,13.9,3165.0,4.0,2.0,3.0,625.0,198.0,1997.0,Glen Eira,-37.9374,145.0726,Southern Metropolitan,10969.0
961,Bentleigh East,Connie,4,h,1255000.0,S,Buxton,2016,13.9,3165.0,4.0,2.0,2.0,610.0,167.0,1950.0,Glen Eira,-37.9207,145.0757,Southern Metropolitan,10969.0
962,Bentleigh East,Marlborough,3,h,1320000.0,S,Buxton,2016,13.9,3165.0,3.0,1.0,1.0,593.0,94.0,1950.0,Glen Eira,-37.9178,145.067,Southern Metropolitan,10969.0
963,Bentleigh East,Neville,3,h,870000.0,S,Gary,2016,13.9,3165.0,3.0,2.0,1.0,326.0,133.0,1950.0,Glen Eira,-37.9236,145.0545,Southern Metropolitan,10969.0
964,Bentleigh East,Wingate,4,h,1472500.0,S,hockingstuart,2016,13.9,3165.0,4.0,2.0,2.0,592.0,219.0,2013.0,Glen Eira,-37.9351,145.0572,Southern Metropolitan,10969.0
965,Bentleigh East,Anarth,2,h,640000.0,PI,hockingstuart,2016,13.9,3165.0,2.0,2.0,2.0,298.0,118.0,2005.0,Glen Eira,-37.908,145.0716,Southern Metropolitan,10969.0
969,Box Hill,Margaret,4,h,1620000.0,S,hockingstuart,2016,13.1,3128.0,4.0,2.0,2.0,697.0,255.0,1940.0,Whitehorse,-37.8151,145.135,Eastern Metropolitan,4605.0
970,Box Hill,Barkly,2,u,645000.0,S,McGrath,2017,13.1,3128.0,2.0,1.0,1.0,140.0,81.0,1965.0,Whitehorse,-37.8271,145.1299,Eastern Metropolitan,4605.0
973,Box Hill,Glenmore,4,h,1560000.0,PI,Jellis,2016,13.1,3128.0,3.0,2.0,3.0,729.0,167.0,1905.0,Whitehorse,-37.8233,145.1267,Eastern Metropolitan,4605.0
974,Box Hill,Alexander,3,h,1715000.0,SP,Marshall,2016,13.1,3128.0,3.0,2.0,2.0,458.0,170.0,1950.0,Whitehorse,-37.8257,145.1216,Eastern Metropolitan,4605.0
975,Box Hill,Barkly,3,h,1200000.0,SP,Marshall,2016,13.1,3128.0,3.0,1.0,2.0,550.0,110.0,1950.0,Whitehorse,-37.8275,145.1298,Eastern Metropolitan,4605.0
976,Box Hill,Combarton,3,h,1760000.0,S,Fletchers,2016,13.1,3128.0,3.0,1.0,0.0,741.0,151.0,1910.0,Whitehorse,-37.8258,145.1246,Eastern Metropolitan,4605.0
978,Box Hill,Davey,3,h,948000.0,S,Ray,2016,13.1,3128.0,3.0,1.0,2.0,384.0,108.0,1950.0,Whitehorse,-37.8167,145.1373,Eastern Metropolitan,4605.0
981,Box Hill,Harrow,2,u,465000.0,S,Ray,2016,13.1,3128.0,2.0,2.0,1.0,0.0,65.0,2010.0,Whitehorse,-37.8216,145.127,Eastern Metropolitan,4605.0
982,Box Hill,Barkly,4,t,975000.0,VB,Lindellas,2016,13.1,3128.0,4.0,2.0,2.0,299.0,158.0,2008.0,Whitehorse,-37.8282,145.1301,Eastern Metropolitan,4605.0
983,Box Hill,Bass,3,h,1325000.0,S,Lindellas,2016,13.1,3128.0,3.0,1.0,1.0,702.0,134.0,1950.0,Whitehorse,-37.827,145.1209,Eastern Metropolitan,4605.0
984,Box Hill,Bedford,3,t,750000.0,S,Jellis,2016,13.1,3128.0,3.0,2.0,1.0,150.0,3.0,2000.0,Whitehorse,-37.8287,145.1319,Eastern Metropolitan,4605.0
985,Box Hill,Wavell,3,h,1400000.0,S,hockingstuart,2016,13.1,3128.0,3.0,2.0,1.0,643.0,159.0,1940.0,Whitehorse,-37.8285,145.1272,Eastern Metropolitan,4605.0
986,Box Hill,William,3,h,1500000.0,SP,Ray,2016,13.1,3128.0,3.0,1.0,2.0,664.0,106.0,1930.0,Whitehorse,-37.8235,145.1276,Eastern Metropolitan,4605.0
987,Box Hill,Albion,4,h,1600000.0,S,Fletchers,2016,13.1,3128.0,4.0,2.0,1.0,692.0,195.0,1890.0,Whitehorse,-37.8247,145.1281,Eastern Metropolitan,4605.0
990,Box Hill,Barcelona,4,h,1461400.0,S,Allens,2016,13.1,3128.0,3.0,2.0,2.0,780.0,235.0,1927.0,Whitehorse,-37.8244,145.1319,Eastern Metropolitan,4605.0
991,Box Hill,Collins,3,u,775000.0,S,Fletchers,2016,13.1,3128.0,3.0,1.0,1.0,211.0,108.0,1980.0,Whitehorse,-37.8275,145.1232,Eastern Metropolitan,4605.0
993,Box Hill,Pendle,4,h,1670000.0,S,Noel,2016,13.1,3128.0,4.0,4.0,4.0,707.0,162.0,1926.0,Whitehorse,-37.8166,145.1354,Eastern Metropolitan,4605.0
995,Box Hill,Archibald,3,h,4000000.0,VB,Lindellas,2016,13.1,3128.0,3.0,1.0,2.0,763.0,120.0,1945.0,Whitehorse,-37.8166,145.1215,Eastern Metropolitan,4605.0
996,Box Hill,Kent,3,h,928000.0,S,Lindellas,2016,13.1,3128.0,3.0,1.0,1.0,307.0,106.0,1890.0,Whitehorse,-37.8247,145.1206,Eastern Metropolitan,4605.0
998,Box Hill,Ashted,2,u,636000.0,S,Philip,2016,13.1,3128.0,2.0,1.0,1.0,151.0,82.0,1970.0,Whitehorse,-37.8234,145.1235,Eastern Metropolitan,4605.0
1003,Box Hill,Patricia,3,h,1170000.0,S,Ray,2016,13.1,3128.0,3.0,1.0,1.0,755.0,95.0,1920.0,Whitehorse,-37.8264,145.1248,Eastern Metropolitan,4605.0
1004,Box Hill,Collins,4,h,1670000.0,S,Marshall,2017,13.1,3128.0,4.0,2.0,2.0,590.0,231.0,1924.0,Whitehorse,-37.8274,145.1242,Eastern Metropolitan,4605.0
1006,Box Hill,Canterbury,3,h,857000.0,S,Fletchers,2016,13.1,3128.0,4.0,1.0,1.0,492.0,119.0,1930.0,Whitehorse,-37.8283,145.1195,Eastern Metropolitan,4605.0
1007,Box Hill,Margaret,3,t,822500.0,S,Noel,2016,13.1,3128.0,3.0,2.0,1.0,238.0,130.0,2000.0,Whitehorse,-37.8154,145.1355,Eastern Metropolitan,4605.0
1011,Braybrook,Lily,2,h,645000.0,S,Barry,2016,10.8,3019.0,2.0,1.0,1.0,566.0,75.0,1950.0,Maribyrnong,-37.7839,144.8524,Western Metropolitan,3589.0
1012,Braybrook,Vine,3,t,502000.0,SP,Sweeney,2017,10.8,3019.0,3.0,1.0,1.0,220.0,106.0,2011.0,Maribyrnong,-37.785,144.8561,Western Metropolitan,3589.0
1013,Braybrook,Skewes,3,u,495000.0,S,Bells,2016,10.8,3019.0,3.0,2.0,1.0,327.0,124.0,2006.0,Maribyrnong,-37.7851,144.8517,Western Metropolitan,3589.0
1015,Braybrook,Duke,2,h,868000.0,S,Bells,2016,10.8,3019.0,2.0,1.0,4.0,749.0,77.0,1950.0,Maribyrnong,-37.7814,144.847,Western Metropolitan,3589.0
1016,Braybrook,South,4,h,645000.0,SP,Biggin,2016,10.8,3019.0,4.0,2.0,1.0,283.0,154.0,1990.0,Maribyrnong,-37.7908,144.8485,Western Metropolitan,3589.0
1017,Braybrook,Cross,3,h,652000.0,S,Barry,2016,10.8,3019.0,3.0,2.0,1.0,216.0,145.0,2010.0,Maribyrnong,-37.7865,144.8605,Western Metropolitan,3589.0
1018,Braybrook,Riley,4,h,850000.0,SA,Sweeney,2016,10.8,3019.0,4.0,2.0,2.0,606.0,240.0,2002.0,Maribyrnong,-37.788,144.862,Western Metropolitan,3589.0
1020,Braybrook,Hughes,3,h,575000.0,S,Trimson,2016,10.8,3019.0,3.0,1.0,3.0,559.0,98.0,1955.0,Maribyrnong,-37.7923,144.852,Western Metropolitan,3589.0
1021,Braybrook,Kannan,4,h,882000.0,S,Village,2016,10.8,3019.0,4.0,2.0,2.0,393.0,216.0,2008.0,Maribyrnong,-37.7763,144.8543,Western Metropolitan,3589.0
1022,Braybrook,Balmoral,3,h,730000.0,S,Barry,2017,10.8,3019.0,3.0,2.0,2.0,544.0,135.0,1970.0,Maribyrnong,-37.7815,144.855,Western Metropolitan,3589.0
1026,Braybrook,South,4,h,610000.0,VB,Biggin,2016,10.8,3019.0,4.0,2.0,1.0,283.0,154.0,1990.0,Maribyrnong,-37.7908,144.8485,Western Metropolitan,3589.0
1027,Braybrook,Wilson,3,h,696000.0,S,YPA,2017,10.8,3019.0,3.0,1.0,0.0,557.0,90.0,1960.0,Maribyrnong,-37.7899,144.8515,Western Metropolitan,3589.0
1029,Braybrook,Bradford,3,t,579000.0,S,Sweeney,2016,10.8,3019.0,3.0,2.0,1.0,198.0,144.0,2013.0,Maribyrnong,-37.7827,144.8625,Western Metropolitan,3589.0
1032,Braybrook,Moama,3,h,765000.0,S,GL,2017,10.8,3019.0,3.0,1.0,1.0,658.0,105.0,1960.0,Maribyrnong,-37.7905,144.8485,Western Metropolitan,3589.0
1033,Braybrook,Windsor,2,t,475000.0,S,Barry,2017,10.8,3019.0,2.0,1.0,1.0,115.0,104.0,1980.0,Maribyrnong,-37.7948,144.85399999999996,Western Metropolitan,3589.0
1034,Braybrook,Errol,4,h,550000.0,S,Barry,2016,10.8,3019.0,4.0,2.0,1.0,288.0,160.0,2000.0,Maribyrnong,-37.7775,144.855,Western Metropolitan,3589.0
1036,Braybrook,Marnoo,3,h,495000.0,S,Burnham,2016,10.8,3019.0,3.0,1.0,1.0,158.0,138.0,2005.0,Maribyrnong,-37.7889,144.8465,Western Metropolitan,3589.0
1038,Braybrook,Rose,3,h,565000.0,S,Nelson,2016,10.8,3019.0,3.0,2.0,1.0,566.0,78.0,1970.0,Maribyrnong,-37.7844,144.8523,Western Metropolitan,3589.0
1041,Brighton,Rooding,3,h,1635000.0,S,Buxton,2016,11.2,3186.0,3.0,1.0,2.0,366.0,156.0,1920.0,Bayside,-37.9038,145.0001,Southern Metropolitan,10579.0
1043,Brighton,McCallum,4,h,3695000.0,S,Marshall,2016,11.2,3186.0,4.0,3.0,2.0,836.0,284.0,1960.0,Bayside,-37.9071,144.9898,Southern Metropolitan,10579.0
1044,Brighton,Pearson,2,u,536000.0,SP,Hodges,2016,11.2,3186.0,2.0,1.0,2.0,0.0,70.0,1970.0,Bayside,-37.9081,145.0043,Southern Metropolitan,10579.0
1045,Brighton,Victoria,4,h,3700000.0,S,Marshall,2016,11.2,3186.0,4.0,3.0,2.0,742.0,247.0,1900.0,Bayside,-37.914,144.9878,Southern Metropolitan,10579.0
1047,Brighton,Well,3,h,1975000.0,S,Buxton,2016,11.2,3186.0,3.0,1.0,2.0,432.0,122.0,1930.0,Bayside,-37.9172,144.996,Southern Metropolitan,10579.0
1049,Brighton,Dendy,3,h,1390000.0,S,Tiernan's,2017,11.2,3186.0,3.0,1.0,2.0,340.0,137.0,1975.0,Bayside,-37.9205,145.0007,Southern Metropolitan,10579.0
1051,Brighton,Head,4,h,2905000.0,S,Marshall,2017,11.2,3186.0,4.0,3.0,1.0,487.0,260.0,1905.0,Bayside,-37.8926,144.9991,Southern Metropolitan,10579.0
1052,Brighton,Roslyn,2,u,1300000.0,S,Nick,2017,11.2,3186.0,2.0,2.0,2.0,329.0,132.0,1940.0,Bayside,-37.9172,145.004,Southern Metropolitan,10579.0
1053,Brighton,Roslyn,3,t,1725000.0,PI,Buxton,2017,11.2,3186.0,3.0,2.0,2.0,411.0,225.0,1997.0,Bayside,-37.918,145.0035,Southern Metropolitan,10579.0
1056,Brighton,Barkly,3,h,2100000.0,S,Buxton,2016,11.2,3186.0,3.0,2.0,2.0,463.0,209.0,1970.0,Bayside,-37.9082,144.9968,Southern Metropolitan,10579.0
1058,Brighton,William,2,u,800000.0,S,Hodges,2016,11.2,3186.0,2.0,1.0,1.0,90.0,74.0,1960.0,Bayside,-37.9122,145.0038,Southern Metropolitan,10579.0
1060,Brighton,Cole,4,h,1761000.0,S,Kay,2016,11.2,3186.0,4.0,2.0,3.0,615.0,135.0,1920.0,Bayside,-37.8956,145.0026,Southern Metropolitan,10579.0
1062,Brighton,Munro,3,h,1302500.0,S,Nick,2016,11.2,3186.0,3.0,2.0,2.0,0.0,171.0,1993.0,Bayside,-37.9166,144.9942,Southern Metropolitan,10579.0
1064,Brighton,Carpenter,5,h,2750000.0,VB,Buxton,2016,11.2,3186.0,4.0,3.0,1.0,509.0,341.0,2005.0,Bayside,-37.9118,144.9984,Southern Metropolitan,10579.0
1065,Brighton,Church,2,u,892500.0,S,Nick,2016,11.2,3186.0,2.0,1.0,2.0,232.0,92.0,1970.0,Bayside,-37.9157,144.9973,Southern Metropolitan,10579.0
1066,Brighton,Cole,4,h,2145000.0,S,Buxton,2016,11.2,3186.0,3.0,2.0,1.0,550.0,197.0,1910.0,Bayside,-37.8954,145.0017,Southern Metropolitan,10579.0
1067,Brighton,Hanby,5,h,3171000.0,S,Biggin,2016,11.2,3186.0,4.0,2.0,2.0,710.0,340.0,2000.0,Bayside,-37.9241,145.0008,Southern Metropolitan,10579.0
1072,Brighton,Bay,2,u,620000.0,S,Gary,2016,11.2,3186.0,2.0,2.0,1.0,0.0,74.0,2013.0,Bayside,-37.9042,144.9954,Southern Metropolitan,10579.0
1074,Brighton,St,3,t,1475000.0,PI,Buxton,2016,11.2,3186.0,3.0,2.0,2.0,345.0,163.0,2000.0,Bayside,-37.8943,144.9907,Southern Metropolitan,10579.0
1079,Brighton,Manor,3,h,1650000.0,S,Nick,2016,11.2,3186.0,3.0,2.0,2.0,0.0,111.0,1980.0,Bayside,-37.9174,144.9895,Southern Metropolitan,10579.0
1080,Brighton,Were,5,h,1562500.0,PI,Buxton,2016,11.2,3186.0,5.0,2.0,2.0,655.0,202.0,1925.0,Bayside,-37.9264,145.0044,Southern Metropolitan,10579.0
1081,Brighton,Campbell,3,h,2050000.0,PI,hockingstuart,2016,11.2,3186.0,3.0,3.0,2.0,398.0,262.0,2012.0,Bayside,-37.899,144.9901,Southern Metropolitan,10579.0
1084,Brighton,Martin,4,h,3320000.0,S,Buxton,2016,11.2,3186.0,4.0,3.0,2.0,644.0,364.0,2000.0,Bayside,-37.8964,144.9972,Southern Metropolitan,10579.0
1088,Brighton,Black,2,u,1100000.0,S,Buxton,2016,11.2,3186.0,2.0,1.0,2.0,0.0,85.0,1935.0,Bayside,-37.9131,144.995,Southern Metropolitan,10579.0
1089,Brighton,Bridge,3,h,1650000.0,S,Hodges,2016,11.2,3186.0,3.0,2.0,1.0,354.0,143.0,1910.0,Bayside,-37.8916,145.0017,Southern Metropolitan,10579.0
1092,Brighton,Loller,2,h,1570000.0,S,Buxton,2016,11.2,3186.0,2.0,1.0,0.0,352.0,111.0,1920.0,Bayside,-37.9154,145.001,Southern Metropolitan,10579.0
1095,Brighton,Whyte,3,h,1785000.0,SP,Buxton,2016,11.2,3186.0,3.0,2.0,1.0,404.0,118.0,1953.0,Bayside,-37.9228,144.9996,Southern Metropolitan,10579.0
1097,Brighton,Chavasse,3,h,1875000.0,S,Hodges,2016,11.2,3186.0,3.0,2.0,2.0,275.0,170.0,1991.0,Bayside,-37.9153,144.9924,Southern Metropolitan,10579.0
1099,Brighton,South,3,u,1266000.0,S,Hodges,2016,11.2,3186.0,3.0,1.0,2.0,277.0,116.0,1950.0,Bayside,-37.9268,144.991,Southern Metropolitan,10579.0
1101,Brighton,Dendy,5,h,2730000.0,S,Gary,2016,11.2,3186.0,5.0,3.0,2.0,895.0,423.0,1938.0,Bayside,-37.9204,145.0028,Southern Metropolitan,10579.0
1104,Brighton,Cochrane,4,h,3295888.0,S,Hodges,2016,11.2,3186.0,4.0,3.0,2.0,565.0,337.0,1990.0,Bayside,-37.8975,144.9991,Southern Metropolitan,10579.0
1105,Brighton,New,1,u,375000.0,S,hockingstuart,2016,11.2,3186.0,1.0,1.0,1.0,0.0,40.0,1965.0,Bayside,-37.9181,144.993,Southern Metropolitan,10579.0
1106,Brighton,Normanby,2,u,756000.0,S,Buxton,2016,11.2,3186.0,2.0,1.0,1.0,0.0,80.0,1920.0,Bayside,-37.9112,144.9909,Southern Metropolitan,10579.0
1108,Brighton,Orchard,5,h,2100000.0,PI,Hodges,2016,11.2,3186.0,5.0,5.0,2.0,552.0,219.0,1920.0,Bayside,-37.9012,144.997,Southern Metropolitan,10579.0
1111,Brighton,Champion,3,h,2375000.0,S,HAR,2016,11.2,3186.0,4.0,2.0,2.0,547.0,302.0,2000.0,Bayside,-37.9271,145.0034,Southern Metropolitan,10579.0
1113,Brighton,Hampton,3,h,1385000.0,S,Buxton,2016,11.2,3186.0,3.0,1.0,2.0,426.0,120.0,1935.0,Bayside,-37.9254,145.0045,Southern Metropolitan,10579.0
1118,Brighton,Brickwood,2,u,858000.0,S,Marshall,2017,11.2,3186.0,2.0,1.0,1.0,107.0,75.0,1950.0,Bayside,-37.8958,144.9982,Southern Metropolitan,10579.0
1121,Brighton,May,4,h,2800000.0,S,Biggin,2017,11.2,3186.0,4.0,2.0,4.0,569.0,229.0,1910.0,Bayside,-37.8962,145.0011,Southern Metropolitan,10579.0
1122,Brighton,New,5,h,3700000.0,VB,Kay,2016,11.2,3186.0,4.0,3.0,4.0,1572.0,305.0,1890.0,Bayside,-37.9233,144.9944,Southern Metropolitan,10579.0
1124,Brighton,Hampton,4,h,2475000.0,VB,Marshall,2016,11.2,3186.0,4.0,2.0,2.0,605.0,274.0,1920.0,Bayside,-37.916,145.0064,Southern Metropolitan,10579.0
1125,Brighton,North,4,h,2700000.0,SP,Nick,2016,11.2,3186.0,4.0,2.0,2.0,732.0,333.0,1925.0,Bayside,-37.8987,144.9953,Southern Metropolitan,10579.0
1127,Brighton,Champion,4,h,3900000.0,S,Nick,2016,11.2,3186.0,4.0,2.0,2.0,842.0,311.0,1990.0,Bayside,-37.9227,145.0043,Southern Metropolitan,10579.0
1128,Brighton,Loller,2,u,610000.0,S,RT,2016,11.2,3186.0,2.0,1.0,1.0,0.0,75.0,2005.0,Bayside,-37.9156,145.0013,Southern Metropolitan,10579.0
1131,Brighton,Durrant,2,h,1532000.0,S,Hodges,2016,11.2,3186.0,2.0,1.0,2.0,411.0,165.0,1910.0,Bayside,-37.9095,145.004,Southern Metropolitan,10579.0
1138,Brighton,Male,2,t,1037000.0,S,Buxton,2017,11.2,3186.0,2.0,1.0,2.0,125.0,2.0,2009.0,Bayside,-37.9078,145.0051,Southern Metropolitan,10579.0
1139,Brighton,North,4,h,3050000.0,SP,Buxton,2017,11.2,3186.0,4.0,4.0,2.0,578.0,319.0,1995.0,Bayside,-37.8989,145.0008,Southern Metropolitan,10579.0
1140,Brighton,Roslyn,4,t,1630000.0,SP,Biggin,2017,11.2,3186.0,4.0,2.0,2.0,432.0,196.0,2000.0,Bayside,-37.9228,145.0022,Southern Metropolitan,10579.0
